TIME	VP	VN
0	0.9	0
100	0.899210691	0
200	0.896845881	0
300	0.8929149	0
400	0.887433264	0
500	0.880422607	0
600	0.871910594	0
700	0.861930821	0
800	0.850522672	0
900	0.83773117	0
1000	0.823606798	0
1100	0.808205297	0
1200	0.791587451	0
1300	0.773818842	0
1400	0.754969596	0
1500	0.735114101	0
1600	0.714330718	0
1700	0.69270147	0
1800	0.670311717	0
1900	0.647249821	0
2000	0.623606798	0
2100	0.599475955	0
2200	0.574952526	0
2300	0.550133293	0
2400	0.525116208	0
2500	0.5	0
2600	0.474883792	0
2700	0.449866707	0
2800	0.425047474	0
2900	0.400524045	0
3000	0.376393202	0
3100	0.352750179	0
3200	0.329688283	0
3300	0.30729853	0
3400	0.285669282	0
3500	0.264885899	0
3600	0.245030404	0
3700	0.226181158	0
3800	0.208412549	0
3900	0.191794703	0
4000	0.176393202	0
4100	0.16226883	0
4200	0.149477328	0
4300	0.138069179	0
4400	0.128089406	0
4500	0.119577393	0
4600	0.112566736	0
4700	0.1070851	0
4800	0.103154119	0
4900	0.100789309	0
5000	0.1	0
5100	0.100789309	0
5200	0.103154119	0
5300	0.1070851	0
5400	0.112566736	0
5500	0.119577393	0
5600	0.128089406	0
5700	0.138069179	0
5800	0.149477328	0
5900	0.16226883	0
6000	0.176393202	0
6100	0.191794703	0
6200	0.208412549	0
6300	0.226181158	0
6400	0.245030404	0
6500	0.264885899	0
6600	0.285669282	0
6700	0.30729853	0
6800	0.329688283	0
6900	0.352750179	0
7000	0.376393202	0
7100	0.400524045	0
7200	0.425047474	0
7300	0.449866707	0
7400	0.474883792	0
7500	0.5	0
7600	0.525116208	0
7700	0.550133293	0
7800	0.574952526	0
7900	0.599475955	0
8000	0.623606798	0
8100	0.647249821	0
8200	0.670311717	0
8300	0.69270147	0
8400	0.714330718	0
8500	0.735114101	0
8600	0.754969596	0
8700	0.773818842	0
8800	0.791587451	0
8900	0.808205297	0
9000	0.823606798	0
9100	0.83773117	0
9200	0.850522672	0
9300	0.861930821	0
9400	0.871910594	0
9500	0.880422607	0
